series,scenario,replication,run_id,source,metric,method,true_change_step,first_signal_step,signal_count,detection_delay,is_false_alarm,mu_hat,sigma_hat,baseline_size,n_phase2_steps,n_total_observations,degradation,deg_value,deg_start,seed
series2_arl1,shift_0.5sigma,1,series2_arl1__shift_0.5sigma__rep01,exp_source,mean,shewhart,1,40,7,40,False,100.19406238079803,1.000662549617262,50,500,11000,mean_shift,0.5590169943749475,1000,1
series2_arl1,shift_0.5sigma,1,series2_arl1__shift_0.5sigma__rep01,exp_source,mean,cusum,1,17,14,17,False,100.19406238079803,1.000662549617262,50,500,11000,mean_shift,0.5590169943749475,1000,1
series2_arl1,shift_0.5sigma,1,series2_arl1__shift_0.5sigma__rep01,exp_source,mean,ewma,1,21,38,21,False,100.19406238079803,1.000662549617262,50,500,11000,mean_shift,0.5590169943749475,1000,1
series2_arl1,shift_0.5sigma,2,series2_arl1__shift_0.5sigma__rep02,exp_source,mean,shewhart,1,106,5,106,False,99.76075032402412,1.041500610953222,50,500,11000,mean_shift,0.5590169943749475,1000,2
series2_arl1,shift_0.5sigma,2,series2_arl1__shift_0.5sigma__rep02,exp_source,mean,cusum,1,17,39,17,False,99.76075032402412,1.041500610953222,50,500,11000,mean_shift,0.5590169943749475,1000,2
series2_arl1,shift_0.5sigma,2,series2_arl1__shift_0.5sigma__rep02,exp_source,mean,ewma,1,17,107,17,False,99.76075032402412,1.041500610953222,50,500,11000,mean_shift,0.5590169943749475,1000,2
series2_arl1,shift_0.5sigma,3,series2_arl1__shift_0.5sigma__rep03,exp_source,mean,shewhart,1,314,1,314,False,100.08642166490421,1.156737179552658,50,500,11000,mean_shift,0.5590169943749475,1000,3
series2_arl1,shift_0.5sigma,3,series2_arl1__shift_0.5sigma__rep03,exp_source,mean,cusum,1,293,4,293,False,100.08642166490421,1.156737179552658,50,500,11000,mean_shift,0.5590169943749475,1000,3
series2_arl1,shift_0.5sigma,3,series2_arl1__shift_0.5sigma__rep03,exp_source,mean,ewma,1,293,4,293,False,100.08642166490421,1.156737179552658,50,500,11000,mean_shift,0.5590169943749475,1000,3
series2_arl1,shift_0.5sigma,4,series2_arl1__shift_0.5sigma__rep04,exp_source,mean,shewhart,1,312,2,312,False,100.25764808942657,1.0523812688143088,50,500,11000,mean_shift,0.5590169943749475,1000,4
series2_arl1,shift_0.5sigma,4,series2_arl1__shift_0.5sigma__rep04,exp_source,mean,cusum,1,260,4,260,False,100.25764808942657,1.0523812688143088,50,500,11000,mean_shift,0.5590169943749475,1000,4
series2_arl1,shift_0.5sigma,4,series2_arl1__shift_0.5sigma__rep04,exp_source,mean,ewma,1,313,4,313,False,100.25764808942657,1.0523812688143088,50,500,11000,mean_shift,0.5590169943749475,1000,4
series2_arl1,shift_0.5sigma,5,series2_arl1__shift_0.5sigma__rep05,exp_source,mean,shewhart,1,265,2,265,False,100.16638513946427,1.0254371841538128,50,500,11000,mean_shift,0.5590169943749475,1000,5
series2_arl1,shift_0.5sigma,5,series2_arl1__shift_0.5sigma__rep05,exp_source,mean,cusum,1,16,14,16,False,100.16638513946427,1.0254371841538128,50,500,11000,mean_shift,0.5590169943749475,1000,5
series2_arl1,shift_0.5sigma,5,series2_arl1__shift_0.5sigma__rep05,exp_source,mean,ewma,1,16,30,16,False,100.16638513946427,1.0254371841538128,50,500,11000,mean_shift,0.5590169943749475,1000,5
series2_arl1,shift_0.5sigma,6,series2_arl1__shift_0.5sigma__rep06,exp_source,mean,shewhart,1,54,10,54,False,99.95571675283301,0.9776796363551767,50,500,11000,mean_shift,0.5590169943749475,1000,6
series2_arl1,shift_0.5sigma,6,series2_arl1__shift_0.5sigma__rep06,exp_source,mean,cusum,1,18,40,18,False,99.95571675283301,0.9776796363551767,50,500,11000,mean_shift,0.5590169943749475,1000,6
series2_arl1,shift_0.5sigma,6,series2_arl1__shift_0.5sigma__rep06,exp_source,mean,ewma,1,18,102,18,False,99.95571675283301,0.9776796363551767,50,500,11000,mean_shift,0.5590169943749475,1000,6
series2_arl1,shift_0.5sigma,7,series2_arl1__shift_0.5sigma__rep07,exp_source,mean,shewhart,1,115,5,115,False,99.85762486714415,1.0259382870282268,50,500,11000,mean_shift,0.5590169943749475,1000,7
series2_arl1,shift_0.5sigma,7,series2_arl1__shift_0.5sigma__rep07,exp_source,mean,cusum,1,24,35,24,False,99.85762486714415,1.0259382870282268,50,500,11000,mean_shift,0.5590169943749475,1000,7
series2_arl1,shift_0.5sigma,7,series2_arl1__shift_0.5sigma__rep07,exp_source,mean,ewma,1,24,85,24,False,99.85762486714415,1.0259382870282268,50,500,11000,mean_shift,0.5590169943749475,1000,7
series2_arl1,shift_0.5sigma,8,series2_arl1__shift_0.5sigma__rep08,exp_source,mean,shewhart,1,79,3,79,False,100.18678001135171,1.0875434169349096,50,500,11000,mean_shift,0.5590169943749475,1000,8
series2_arl1,shift_0.5sigma,8,series2_arl1__shift_0.5sigma__rep08,exp_source,mean,cusum,1,13,7,13,False,100.18678001135171,1.0875434169349096,50,500,11000,mean_shift,0.5590169943749475,1000,8
series2_arl1,shift_0.5sigma,8,series2_arl1__shift_0.5sigma__rep08,exp_source,mean,ewma,1,13,14,13,False,100.18678001135171,1.0875434169349096,50,500,11000,mean_shift,0.5590169943749475,1000,8
series2_arl1,shift_0.5sigma,9,series2_arl1__shift_0.5sigma__rep09,exp_source,mean,shewhart,1,12,20,12,False,100.15786932055808,0.8290395823699825,50,500,11000,mean_shift,0.5590169943749475,1000,9
